JSON,Response ID,D6_country,D6_continent,C3_tools,D4_languages,C4_tasks,C9_conditions,C11_documentation,U11_ownership
368,R_4XlPuFbMoVBVUSB,Indonesia,Asia,"Bard, ChatGPT-3.5, ChatGPT-4, Cody, GitHub Copilot, Ollama","Golang, Java, JavaScript, PHP, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
369,R_4w6OaCqV5oMb9MZ,Jordon,Asia,GitHub Copilot,"JavaScript, Python","Writing source code, Prototyping/mocking, Refactoring",I don't know,,Don’t know/No opinion
370,R_137kvbHE0E28uK5,France,Europe,GitHub Copilot,"Bash, Golang, HTML / CSS, Nix, Python, Rust","Test case generation, Writing source code",Yes,,Belongs to the creators whose works were used as training data for the output
371,R_2mDBl9cSejHhDIU,Hungary,Europe,ChatGPT-3.5,"C#, JavaScript, Python, Rust",Writing source code,"Code must be manually reviewed, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
372,R_7L73o8RKHtSfSpo,Netherlands,Europe,GitHub Copilot,Python,"Prototyping/mocking, Refactoring",No,,Don’t know/No opinion
375,R_6rGSQFP2RcbfgSt,Kenya,Africa,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","Java, JavaScript, TypeScript","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring","Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to the developer who prompted the model (or their employer)
376,R_7ycVL5VJZZT7d85,"Germany, Israel","Europe, Asia","ChatGPT-3.5, ChatGPT-4, Codium, GitHub Copilot","Dart, Golang, JavaScript, Kotlin, Python, Rust, Swift, TypeScript","Non-Code Documentation, Product Requirement Documents, System Design Documents, Test case generation, Writing source code",Yes,Keep System or Configuration Records,Belongs to the developer who prompted the model (or their employer)
377,R_4NmESVvVDSrry6J,China,Asia,,Python,,,,
378,R_4r698tOBu5NaYPw,India,Asia,"ChatGPT-4, gpt-engineer, metagpt",Python,"Writing source code, Prototyping/mocking, Refactoring",Yes,,Depends on the training set
379,R_4YnQkDRYSNWZNlk,Pakistan,Asia,"ChatGPT-3.5, ChatGPT-4","C / C++, Python","Writing source code, Code styling and formatting (to meet employer or community standards)",Yes,Noting the usage of a code generation tool,Belongs to no one (i.e. is in the public domain)
380,R_46fevkJTFsTl41Q,China,Asia,"ChatGPT-4, GitHub Copilot","C / C++, C#, Golang, Java, JavaScript, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",I don't know,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
382,R_71FYCfvRX18XQ5v,United States,North America,,"C / C++, C#, Rust",,"Only in-house or company approved AI, Partially or under certain conditions",Documenting the entire interaction with a code generation tool,"Belongs to the creators whose works were used as training data for the output, Belongs to no one (i.e. is in the public domain)"
386,R_4BesO1pgzRCbCbn,United States,North America,,"JavaScript, Python, TypeScript",,,,
387,R_15YLZTZGy7l1j1w,Canada,North America,Tabnine,Java,Writing source code,"Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
388,R_4bxj1jxSWWmZ2UN,Bangladesh,Asia,"Bard, ChatGPT-3.5, GitHub Copilot",Rust,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Don’t know/No opinion
390,R_5JnV0stuqiFq0Lv,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","Java, JavaScript, Python","Writing source code, Creating user interfaces, Refactoring",Yes,,Belongs to the creators whose works were used as training data for the output
391,R_7wAmSEJdrCA8Me7,United States,North America,"Bard, Codellama, DeepSeek Coder","Golang, JavaScript","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
392,R_6JDgHXlhmGGxzi0,Canada,North America,"ChatGPT-4, GitHub Copilot","C#, Java, JavaScript, Python, Rust","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring","No guidelines yet, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
393,R_6BaFEHWDadOpbJ2,United States,North America,,JavaScript,,"Depends on use or process, No, Partially or under certain conditions","Noting the usage of a code generation tool, Summarization of Task / Purpose / Reasoning",Belongs to no one (i.e. is in the public domain)
394,R_3exy3sn9bBdIdbo,United States,North America,"ChatGPT-4, GitHub Copilot","HTML / CSS, JavaScript, Python","Test case generation, Code documentation, Writing source code, Creating user interfaces, Code styling and formatting (to meet employer or community standards)",Yes,,"Belongs to no one (i.e. is in the public domain), Don’t know/No opinion"
395,R_26Qo0ZsnJ1KAQSZ,Global,Global,"ChatGPT-4, GitHub Copilot, In-House or Custom","Bash, C / C++, Kotlin, Python, Swift","Code documentation, Prototyping/mocking, Test case generation, Use as an Expert System, Writing source code","Only in-house or company approved AI, Partially or under certain conditions",,Belongs to the developer who prompted the model (or their employer)
397,R_44f9Cwu4xbkkKZw,India,Asia,"Bard, ChatGPT-3.5, ChatGPT-4",Python,"Writing source code, Prototyping/mocking, Refactoring",I don't know,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
398,R_1KDMLvQ3ycHjaQF,United States,North America,GitHub Copilot,"C / C++, JavaScript, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking",Yes,,Belongs to the developer who prompted the model (or their employer)
399,R_79uk8KEURoU6Klj,France,Europe,GitHub Copilot,"JavaScript, PHP","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
401,R_4l9ogcr9kE3W2zw,Turkey,Asia,ChatGPT-3.5,"JavaScript, PHP, Python","Writing source code, Creating user interfaces, Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
403,R_5LqlHjseVClLcTQ,France,Europe,"ChatGPT-3.5, ChatGPT-4","JavaScript, Python","Test case generation, Code documentation, Writing source code",No,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
404,R_200QZgzKTg1HT7F,Netherlands,Europe,ChatGPT-4,"Java, Python","Reference / Learning, Writing source code","Only in-house or company approved AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
405,R_1pnvoOVwRoZdttS,Brazil,South America,"ChatGPT-4, GitHub Copilot, Phi","JavaScript, Python, R","Code documentation, Writing source code, Prototyping/mocking",Yes,,"Belongs to the developer who prompted the model (or their employer), Don’t know/No opinion"
406,R_7mfRSdVXD8wfx78,United States,North America,"ChatGPT-3.5, GitHub Copilot",JavaScript,"Test case generation, Writing source code, Creating user interfaces, Code styling and formatting (to meet employer or community standards)",Yes,Noting the usage of a code generation tool,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer), Don’t know/No opinion"
407,R_1hPlK7ffCFbaNmF,United States,North America,"ChatGPT-4, GitHub Copilot",JavaScript,"Test case generation, Code documentation, Prototyping/mocking, Code styling and formatting (to meet employer or community standards)",Yes,,Belongs to no one (i.e. is in the public domain)
408,R_7tuseVJDgevwUll,United States,North America,"Bard, ChatGPT-3.5, ChatGPT-4, Codellama, GitHub Copilot","Dart, Python","Code documentation, Code styling and formatting (to meet employer or community standards), Creating user interfaces, Language Translation, Prototyping/mocking, Refactoring, Test case generation, Writing source code",Yes,,"Belongs to the developer who prompted the model (or their employer), Depends on model license"
409,R_3tLgZECZXE3wIP7,United States,North America,"ChatGPT-4, GitHub Copilot","Golang, Java, JavaScript, PHP, Python, Rust","Test case generation, Writing source code, Prototyping/mocking, Refactoring","Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to the developer who prompted the model (or their employer)
410,R_7q1Epa9Mq2cv77n,United States,North America,"ChatGPT-4, GitHub Copilot","JavaScript, Python","Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces",I don't know,,Belongs to the developer who prompted the model (or their employer)
411,R_5JIyjh3R3wzMO0R,Belgium,Europe,"ChatGPT-4, GitHub Copilot","JavaScript, PHP","Code Explanation, Prototyping/mocking, Refactoring, Writing source code",I don't know,,Don’t know/No opinion
412,R_5yFFLYWxeiaBCnv,United States,North America,GitHub Copilot,Python,"Test case generation, Code documentation, Writing source code, Refactoring","Can't expose sensitive data to AI, Partially or under certain conditions",,Depends on the training set
413,R_3rNSomTZLc2O9Kb,United States,North America,"ChatGPT-3.5, ChatGPT-4","C / C++, JavaScript, Python","Code Explanation, Code documentation, Edge Case Detection, Prototyping/mocking, Test case generation","Depends on training data, Partially or under certain conditions",,Depends on the training set
414,R_3do8hX62iYJR1Bl,United States,North America,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot, In-House or Custom, Llama / Llama 2","BrainF*ck, Python, R, Rust","Code documentation, Code styling and formatting (to meet employer or community standards), Creating user interfaces, Debugging, Prototyping/mocking, Refactoring, Test case generation, Writing source code","As long as use is documented, Can't expose sensitive data to AI, Depends on client, Partially or under certain conditions","Documenting the prompt used to generate code, Keep System or Configuration Records, Noting the usage of a code generation tool","Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
415,R_1oAAFONC1iG32s0,China,Asia,"ChatGPT-4, GitHub Copilot","C / C++, Python",Writing source code,Yes,,Belongs to the creators whose works were used as training data for the output
416,R_6bPxD6liodnLofD,United States,North America,"Amazon CodeWhisperer, Bard, ChatGPT-3.5, ChatGPT-4, Claude (Anthropic) (any version), Codellama, GitHub Copilot, Mistral","JavaScript, PHP, Python, Rust","Test case generation, Code documentation, Writing source code, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
418,R_4IYkHbPvVd29aKB,Australia,Oceania,ChatGPT-4,Python,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring","Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
419,R_4DoJHSiD9VgZwen,Australia,Oceania,"ChatGPT-4, GitHub Copilot, Windows CoPilot","C#, JavaScript, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards)",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
420,R_4lfpz5LiVuugceu,Australia,Oceania,"ChatGPT-4, GitHub Copilot","C#, JavaScript, Python","Code documentation, Prototyping/mocking",Yes,"Documenting the prompt used to generate code, Documenting the entire interaction with a code generation tool",Don’t know/No opinion
422,R_4wtYTYCpvcWNf8i,Thailand,Asia,"Bard, ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Claude (Anthropic) (any version)","Golang, JavaScript, Python, Rust","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",Yes,,Belongs to the creators whose works were used as training data for the output
423,R_4E9XXIokRsRygH1,China,Asia,"ChatGPT-3.5, Claude (Anthropic) (any version)","Java, Kotlin, Python","Test case generation, Writing source code, Refactoring",Yes,Documenting the prompt used to generate code,"Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
424,R_533fM261pwAoZM8,Unknown,Unknown,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","C / C++, Golang, Java, Python, R","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,Documenting the entire interaction with a code generation tool,Belongs to the developer who prompted the model (or their employer)
426,R_4EvD6UU09jMoP6x,Vietnam,Asia,"ChatGPT-3.5, GitHub Copilot","C / C++, C#, Golang, JavaScript, Python","Writing source code, Prototyping/mocking",Yes,,Belongs to no one (i.e. is in the public domain)
427,R_6vl97xmbWd1VZkd,Poland,Europe,"ChatGPT-4, GitHub Copilot",JavaScript,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",I don't know,,Belongs to the creators whose works were used as training data for the output
428,R_46Wkp16cHxv2FCF,Vietnam,Asia,"ChatGPT-3.5, Codeium, Tabnine","Java, JavaScript, Python","Test case generation, Code documentation, Code styling and formatting (to meet employer or community standards), Refactoring","Partially or under certain conditions, Varies across projects and data",Documenting the entire interaction with a code generation tool,Belongs to no one (i.e. is in the public domain)
429,R_7iqYejCebsk5bDV,United States,North America,"ChatGPT-4, GitHub Copilot","C / C++, JavaScript, PHP, Python","Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
430,R_8fl7kLh03zVefM5,Netherlands,Europe,"Bard, ChatGPT-3.5, Claude (Anthropic) (any version), In-House or Custom, Open-source Models, chat.langchain.com","Basic, C / C++, C#, DOS, Java, JavaScript, Lua, PHP, Pascal, Python, Shell","Code documentation, Code styling and formatting (to meet employer or community standards), Creating user interfaces, Entertainment, Ethical Hacking, Prototyping/mocking, Refactoring, Reference / Learning, Test case generation, Writing source code",Yes,"Documenting the entire interaction with a code generation tool, Documenting the prompt used to generate code, Noting the usage of a code generation tool, Storing Agent Memory",Bad Answer
431,R_7feOWwn5NkFOKpx,France,Europe,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","C / C++, Java, JavaScript, Python, R","Code documentation, Code styling and formatting (to meet employer or community standards), Debugging, Prototyping/mocking, Refactoring, Test case generation",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to no one (i.e. is in the public domain)"
432,R_61AnPH71wlj0uMV,Kenya,Africa,"Bard, ChatGPT-3.5, GitHub Copilot","JavaScript, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",Yes,,Don’t know/No opinion
433,R_7X7eYuRk1zCXvww,Italy,Europe,"ChatGPT-3.5, GitHub Copilot",Python,"Code documentation, Writing source code",Yes,,"Belongs to the creators of the model (such as OpenAI), Belongs to no one (i.e. is in the public domain)"
434,R_4JFx7Gzcaw8zpoA,South Korea,Asia,"ChatGPT-3.5, ChatGPT-4","Golang, Java, Python","Writing source code, Prototyping/mocking","Can't expose sensitive data to AI, Partially or under certain conditions","Noting the usage of a code generation tool, Documenting the prompt used to generate code","Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI), Belongs to the developer who prompted the model (or their employer)"
437,R_4esYWjrfGOS9qjQ,Unknown,"Africa, Asia","ChatGPT-3.5, GitHub Copilot",JavaScript,"Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
438,R_7hMy1z7udmfyNEh,China,Asia,"ChatGPT-4, GitHub Copilot",Golang,"Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring",Yes,,Belongs to the creators whose works were used as training data for the output
439,R_2nwlpaqEDyGqHHI,Brazil,South America,"Bard, ChatGPT-3.5, Llama / Llama 2",Python,"Code documentation, Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring",I don't know,,Belongs to no one (i.e. is in the public domain)
440,R_3AMl9dRXbDFXaGl,United States,North America,"ChatGPT-3.5, ChatGPT-4, Windows CoPilot","JavaScript, PHP","Test case generation, Writing source code, Refactoring",Yes,,"Belongs to no one (i.e. is in the public domain), Depends on model license"
441,R_2qpOVd8L1BKa0zC,Sweden,Europe,ChatGPT-3.5,Python,"Code documentation, Writing source code","Code must be manually reviewed, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
442,R_3LojMKWXGQ9R4LI,United States,North America,GitHub Copilot,Python,"Test case generation, Code documentation, Writing source code, Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
443,R_3JQ5cSLEcfPncPS,United States,North America,"ChatGPT-3.5, Codeium","Aardvark, JavaScript, Python",Writing source code,Yes,,Belongs to the developer who prompted the model (or their employer)
444,R_3LMehr39Oargj0J,"United States, Germany","North America, Europe","ChatGPT-3.5, ChatGPT-4, GitHub Copilot, Amazon CodeWhisperer","JavaScript, Python","Test case generation, Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
445,R_7Iv27c0mXwbV1br,United States,North America,GitHub Copilot,Python,Writing source code,Yes,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
447,R_1f3z2R1zFNutYeX,United States,North America,,"Java, JavaScript, Python",,Currently testing AI tools,,Belongs to the developer who prompted the model (or their employer)
448,R_4GII1qMZwO4FoXQ,Global,Global,"ChatGPT-3.5, ChatGPT-4",JavaScript,"Code documentation, Writing source code",Yes,,Belongs to no one (i.e. is in the public domain)
449,R_33pxM30BXm6R41t,China,Asia,"ChatGPT-4, GitHub Copilot","C / C++, Python","Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces",I don't know,,Belongs to the developer who prompted the model (or their employer)
450,R_5n71tExhnOjxdU9,United States,North America,"ChatGPT-4, GitHub Copilot",Python,"Code documentation, Writing source code, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
451,R_7a8YGuvOEnu19sh,United States,North America,"ChatGPT-3.5, Claude (Anthropic) (any version), GitHub Copilot, Mistral","Python, R","Code documentation, Code styling and formatting (to meet employer or community standards), Data Transformation, Prototyping/mocking, Refactoring, Writing source code",I don't know,,Belongs to no one (i.e. is in the public domain)
452,R_3XdGOONRXjb3GT7,Canada,North America,"ChatGPT-3.5, Mistral",JavaScript,"Writing source code, Creating user interfaces",I don't know,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
454,R_3bUc8YOSbYFTu4a,Netherlands,Europe,"Codellama, Fauxpilot","Bash, Golang, Python, Rust","Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring","Depends on team, Only in-house or company approved AI, Partially or under certain conditions",,Depends on the training set
455,R_3IR8fJPI7ZY7yhH,United States,North America,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","Golang, JavaScript","Writing source code, Prototyping/mocking",Yes,,Don’t know/No opinion
456,R_4Gp1hKiSeD29LZA,"Australia, New Zealand",Oceania,"ChatGPT-4, GitHub Copilot, Mistral, Open-source Models, Phi","Java, JavaScript, Python","Test case generation, Writing source code, Prototyping/mocking, Creating user interfaces","Only in-house or company approved AI, Partially or under certain conditions",,Belongs to the developer who prompted the model (or their employer)
457,R_6GCwKPgBI6Hwzjd,Nigeria,Africa,"Bard, ChatGPT-3.5, GitHub Copilot","JavaScript, Python","Test case generation, Code documentation",Yes,Noting the usage of a code generation tool,"Belongs to the creators whose works were used as training data for the output, Belongs to no one (i.e. is in the public domain)"
458,R_4EFIJK1R54kuvtS,South Korea,Asia,,"C / C++, C#, Java, JavaScript, Python",,Yes,,"Belongs to no one (i.e. is in the public domain), Belongs to the developer who prompted the model (or their employer)"
460,R_41XF82FV0XctlJm,China,Asia,"GitHub Copilot, Tabnine","Golang, Python, SQL","Code Explanation, Code documentation, Test case generation, Writing source code","Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to the developer who prompted the model (or their employer)
461,R_6Dvaqt2tk1eipkO,Unknown,Unknown,"ChatGPT-4, GitHub Copilot","C#, JavaScript, Python","Test case generation, Writing source code, Creating user interfaces",Yes,,Belongs to the developer who prompted the model (or their employer)
464,R_2QDGprLkqZZLPf5,Kenya,Africa,,Python,,Yes,Documenting the entire interaction with a code generation tool,Belongs to the developer who prompted the model (or their employer)
465,R_1zvkfjHdwllCsKf,Poland,Europe,ChatGPT-3.5,PHP,"Writing source code, Prototyping/mocking",Yes,,"Belongs to the developer who prompted the model (or their employer), Belongs to no one (i.e. is in the public domain)"
466,R_3GnQRoojDhJPgRj,China,Asia,"ChatGPT-4, GitHub Copilot",Python,"Writing source code, Code styling and formatting (to meet employer or community standards)",Yes,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
468,R_4lJVl3N8tlor293,Unknown,Europe,,"Java, Python",,,,
469,R_4SqsSA1bJclqM8X,Netherlands,Europe,,"JavaScript, Python",,I don't know,,Belongs to the creators of the model (such as OpenAI)
475,R_4OGG5tHz4Y2VaVY,Estonia,Europe,"ChatGPT-4, GitHub Copilot",Python,"Test case generation, Writing source code, Prototyping/mocking, Refactoring",Yes,,Belongs to the developer who prompted the model (or their employer)
478,R_3OcVnoudxqakaV3,Czech Republic,Europe,"Bard, ChatGPT-4, GitHub Copilot, Claude (Anthropic) (any version)","Python, Swift","Automation, Prototyping/mocking, Refactoring, Test case generation, Writing source code","Only in-house or company approved AI, Partially or under certain conditions",,Depends on usage
481,R_1dg3Fnv39tpgL8O,Nigeria,Africa,"ChatGPT-3.5, GitHub Copilot, Amazon CodeWhisperer","JavaScript, Python","Test case generation, Code documentation, Writing source code",Yes,,Don’t know/No opinion
482,R_5TATkDR7eXdJseG,Cyprus,Asia,"ChatGPT-4, GitHub Copilot, Claude (Anthropic) (any version)","C / C++, C#, Golang, Java, JavaScript, Kotlin, Lua, PHP, Python, Swift","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
486,R_7pKLXyW0s14hlZi,Brazil,South America,,Python,,,,
488,R_7Gvt2I8psvWoAed,China,Asia,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","C / C++, Python, Rust","Test case generation, Writing source code, Prototyping/mocking, Creating user interfaces",I don't know,,"Belongs to the developer who prompted the model (or their employer), Don’t know/No opinion"
489,R_7InPJJfVyRqUsoq,United States,North America,"ChatGPT-4, GitHub Copilot","JavaScript, Ruby","Test case generation, Code documentation, Writing source code, Prototyping/mocking",Yes,,"Belongs to no one (i.e. is in the public domain), Belongs to the developer who prompted the model (or their employer), Belongs to the model itself"
490,R_4R1WrkEpWgj8ZQD,China,Asia,GitHub Copilot,Python,"Code documentation, Writing source code",No,,Belongs to the developer who prompted the model (or their employer)
491,R_7ILWSrOjIfu4rId,Canada,North America,"Bard, ChatGPT-4","C / C++, C#, Golang, Java, JavaScript, Python",Writing source code,Yes,,Belongs to the developer who prompted the model (or their employer)
492,R_4mriRAPjL3qj0rf,Bangladesh,Asia,"ChatGPT-3.5, ChatGPT-4","JavaScript, PHP, Python","Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,Documenting the prompt used to generate code,Belongs to the creators of the model (such as OpenAI)
494,R_8WGxKwwRhZNQvRA,United States,North America,"ChatGPT-4, GitHub Copilot, Claude (Anthropic) (any version)","JavaScript, Python","Writing source code, Prototyping/mocking, Creating user interfaces",Yes,,Belongs to the developer who prompted the model (or their employer)
495,R_4x8kNivvmeCzIdz,"Pakistan, United States, Sweden","North America, Europe, Asia","ChatGPT-3.5, GitHub Copilot","JavaScript, Python","Code documentation, Writing source code, Creating user interfaces, Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
496,R_8tDSbpT5Dm3ucHD,United Kingdom,Europe,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","Dart, Golang, JavaScript, Ruby","Code documentation, Data Transformation, Refactoring, Test case generation, Writing source code",Yes,"Documenting the prompt used to generate code, Documenting the entire interaction with a code generation tool",Don’t know/No opinion
497,R_6ON4PxAcqVDHuAj,Romania,Europe,,Kotlin,,No,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI)"
498,R_31VMyFdmqdIoM7L,United States,North America,ChatGPT-4,"C / C++, Java, Python","Test case generation, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,Noting the usage of a code generation tool,Belongs to no one (i.e. is in the public domain)
501,R_7oXgwBFl4xPbGTL,United States,North America,"Bard, ChatGPT-4, GitHub Copilot",Python,Prototyping/mocking,"Can be used early in development, Partially or under certain conditions",,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
502,R_4xbbOMQvaQnAKoF,New Zealand,Oceania,GitHub Copilot,"C#, Dart, TypeScript",Writing source code,Yes,,Belongs to no one (i.e. is in the public domain)
503,R_5QYGgRgb2Wx6nOU,United Kingdom,Europe,"ChatGPT-3.5, ChatGPT-4, GitHub Copilot","JavaScript, Python","Test case generation, Code documentation, Writing source code",Yes,,Don’t know/No opinion
505,R_4rbwjCu5OvT9OyR,Indonesia,Asia,"ChatGPT-3.5, GitHub Copilot","Bash, C / C++, JavaScript, Python, Rust","Code documentation, Writing source code, Refactoring",I don't know,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
506,R_4Ns6gJRbazZiWnD,South Korea,Asia,ChatGPT-4,Python,Writing source code,I don't know,,"Belongs to the creators whose works were used as training data for the output, Belongs to the creators of the model (such as OpenAI)"
507,R_7t4e4qpESNVu1LI,United States,North America,"Bard, ChatGPT-3.5, ChatGPT-4","C / C++, Python, SystemVerilog","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Creating user interfaces, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
508,R_6pm5HdMxv3drGRI,United States,North America,Bard,"C / C++, JavaScript, Python","Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards)",Yes,,Belongs to the developer who prompted the model (or their employer)
513,R_4y2RqGe4KcEwxbT,Nepal,Asia,"Bard, ChatGPT-3.5, GitHub Copilot, Claude (Anthropic) (any version)","JavaScript, Python","Writing source code, Code styling and formatting (to meet employer or community standards)",Yes,,Belongs to the creators whose works were used as training data for the output
514,R_2oGGI22T1WSdW6h,Czech Republic,Europe,"ChatGPT-3.5, GitHub Copilot","C / C++, C#, Powershell, Python","Writing source code, Prototyping/mocking","Only in-house or company approved AI, Partially or under certain conditions",,"Belongs to no one (i.e. is in the public domain), Don’t know/No opinion"
515,R_49mm9nKt5FQAU3D,India,Asia,"Bard, ChatGPT-3.5, GitHub Copilot","C / C++, Golang, JavaScript, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Refactoring",I don't know,,Don’t know/No opinion
516,R_1ORfk2mMhJhn1PH,Brazil,South America,"Fauxpilot, Salesforce CodeGen",Python,"Test case generation, Code documentation, Writing source code, Code styling and formatting (to meet employer or community standards), Refactoring",Yes,,Belongs to no one (i.e. is in the public domain)
518,R_7DZEBTnq2ZwGwny,Ukraine,Europe,"ChatGPT-3.5, ChatGPT-4","Delphi, Python","Test case generation, Code documentation, Writing source code, Prototyping/mocking, Code styling and formatting (to meet employer or community standards), Refactoring",I don't know,,Belongs to no one (i.e. is in the public domain)
519,R_54uzeJwuyOcTKnh,United Kingdom,Europe,GitHub Copilot,"C / C++, Golang, JavaScript, Python","Test case generation, Writing source code, Prototyping/mocking, Creating user interfaces",Yes,,Belongs to the developer who prompted the model (or their employer)
520,R_5PI9WolDYFOE4bZ,Canada,North America,GitHub Copilot,"C / C++, JavaScript, Matlab","Code documentation, Writing source code, Prototyping/mocking",Not applicable,,"Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
521,R_3jwAcNYCizGQJDr,Germany,Europe,"GitHub Copilot, Tabnine",Java,"Code documentation, Writing source code, Refactoring",Yes,,"Apply normal copyright law, Belongs to the creators whose works were used as training data for the output, Belongs to the developer who prompted the model (or their employer)"
523,R_1Pqd6jUcl3oWZxF,Canada,North America,"Codellama, GitHub Copilot, Open-source Models, Phind","C / C++, Golang, Python, Rust","Test case generation, Code documentation, Writing source code, Creating user interfaces, Refactoring",Freelancer / self-employed,,Belongs to no one (i.e. is in the public domain)
524,R_74bILQR0Lrwyxi7,United States,North America,,"C / C++, C#, Golang, JavaScript, Python",,"Can't expose sensitive data to AI, Partially or under certain conditions",,Belongs to no one (i.e. is in the public domain)
